Municipality,2012,2011,2010,2009,2008
Barrie,1937.40 ,1714.78 ,1663.52 ,1396.51 ,
Calgary,2100.25 ,2097.81 ,1921.82 ,,
Hamilton,2636.67 ,2569.78 ,,,2709.87 
London,2576.26 ,2404.99 ,2411.41 ,2550.26 ,2292.82 
Ottawa,2842.65 ,2708.23 ,2360.73 ,2135.23 ,2087.19 
Sudbury (Greater),2757.00 ,2622.44 ,2747.92 ,3209.06 ,3111.18 
Thunder Bay,2164.71 ,2236.63 ,2013.04 ,1966.00 ,2047.05 
Toronto,1520.86 ,1627.05 ,1354.56 ,1498.49 ,1303.06 
Windsor,3576.37 ,3372.55 ,2868.04 ,2470.09 ,2248.69 
Winnipeg,1136.02 ,1100.55 ,,,
