Municipality,2012,2011,2010,2009,2008
Barrie,5458.44,4668.39,4477.21,4470.72,
Brant,,,,,14402.99
Calgary,10701.54,10938.34,,,
Hamilton,7485.64,8275.00,7284.49,9405.56,8920.49
London,5522.65,3844.30,3835.04,3347.66,2875.22
Ottawa,10209.14,11861.43,9737.71,8037.67,6310.80
Sudbury (Greater),2285.81,2013.66,2268.97,1714.19,1725.93
Thunder Bay,5827.85,5213.30,6857.73,5270.49,4267.35
Toronto,19166.15,18257.32,17686.07,14712.04,14220.26
Windsor,17174.27,20308.23,15471.80,16183.51,11724.59
Winnipeg,8144.05,7665.04,7907.52,5912.06,
