Municipality,2012,2011,2010,2009,2008
Barrie,-7.8,-11.3,-4.3,,
Brant,,,,,
Caledon,,,,-17.0,13.5
Durham,-9.4,-4.9,-15.1,-12.2,5.0
Halton,-14.8,-10.8,-1.2,-10.4,-4.2
Hamilton,0.7,-9.7,-3.6,-3.4,-7.6
London,-6.5,-1.9,-8.0,1.3,-3.8
Muskoka,,,,3.8,0.3
Niagara,2.8,-0.3,-7.2,-4.8,-1.9
Ottawa,1.6,-4.5,-8.6,-6.6,-11.2
Peel,,,,-5.8,-6.4
Sudbury (Greater),-11.1,-7.1,13.9,1.9,-1.9
Thunder Bay,-23.0,-2.2,0.0,-1.9,2.4
Toronto,-5.2,-4.6,-7.7,-4.7,-7.2
Waterloo,-5.2,-10.4,-12.9,7.7,-1.5
Windsor,8.6,-4.2,-4.9,-7.0,-15.1
Winnipeg,-2.5,-17.3,,,
York,-9.9,-9.0,-5.2,-3.7,-0.9
