Municipality,2012,2011,2010,2009,2008
Barrie,349.85,323.61,294.09,,
Brant,,,,,
Caledon,,,,150.65,
Durham,264.94,256.06,247.97,241.40,
Halton,252.69,236.62,238.49,213.35,
Hamilton,290.15,277.88,268.71,258.16,
London,281.11,274.70,259.80,245.03,
Muskoka,97.16,95.21,92.44,90.23,
Niagara,326.83,290.18,307.62,296.29,
Ottawa,290.02,283.45,270.63,258.60,
Peel,,,,241.56,
Sudbury (Greater),316.86,311.48,301.68,283.39,
Thunder Bay,330.02,342.00,310.36,288.18,
Toronto,375.72,388.21,392.80,346.13,
Waterloo,255.43,239.23,224.66,223.20,
Windsor,463.20,435.97,395.02,408.09,
Winnipeg,329.92,305.25,,,
York,248.28,238.25,229.77,220.12,
