Municipality,2012,2011,2010,2009,2008
Barrie,46.9,46.5,48.5,48.1,
Brant,,,,,35.5
Calgary,29.1,27.7,27.0,26.0,24.8
Durham,53.0,52.5,51.6,51.1,49.0
Halton,54.9,55.4,55.2,55.1,53.9
Hamilton,48.1,48.0,48.0,47.6,45.1
London,43.9,42.4,40.9,42.4,41.2
Muskoka,48.1,48.9,53.7,51.2,51.0
Niagara,51.5,48.2,40.7,42.0,42.5
Ottawa,40.0,38.9,38.8,32.7,33.7
Peel,,,,51.6,50.2
Sudbury (Greater),45.0,44.5,45.0,45.0,38.0
Thunder Bay,29.9,32.5,31.3,30.4,27.5
Toronto,52.0,,,,
Waterloo,52.5,51.6,50.8,51.0,47.0
Windsor,38.1,36.4,39.0,40.0,35.8
Winnipeg,23.5,21.2,,,
York,53.9,51.8,49.8,54.6,51.6
