Municipality,2012,2011,2010,2009,2008
Barrie,0.49,0.49,0.55,0.52,
Brant,,,,,0.37
Calgary,0.27,0.26,0.25,0.29,0.25
Durham,0.52,0.53,0.52,0.53,0.53
Halton,0.59,0.62,0.61,0.68,0.70
Hamilton,0.48,0.48,0.49,0.51,0.51
London,0.40,0.39,0.37,0.42,0.41
Muskoka,0.24,0.25,0.28,0.24,0.34
Niagara,0.51,0.46,0.42,0.45,0.47
Ottawa,0.36,0.34,0.35,0.29,0.31
Peel,,,,0.65,0.62
Sudbury (Greater),0.47,0.46,0.56,0.57,0.49
Thunder Bay,0.37,0.36,0.33,0.31,0.28
Toronto,0.38,0.36,0.35,0.34,0.36
Waterloo,0.51,0.50,0.49,0.50,0.47
Windsor,0.38,0.37,0.37,0.29,0.35
Winnipeg,0.22,0.20,,,
York,0.58,0.56,0.54,0.59,0.57
