Municipality,2012,2011,2010,2009,2008
Barrie,123.02,120.73,106.95,86.40,
Brant,,,,,
Calgary,149.72,152.15,159.51,157.19,
Durham,85.80,80.69,77.53,85.74,
Halton,131.59,124.26,104.90,86.79,
Hamilton,156.64,194.58,168.55,187.46,
London,98.78,92.65,91.46,85.66,
Muskoka,246.24,280.36,260.55,231.23,
Niagara,101.35,104.11,94.22,105.48,
Ottawa,95.26,84.32,74.85,73.17,
Peel,,,,106.79,
Sudbury (Greater),130.67,118.99,111.30,145.50,
Thunder Bay,142.45,143.84,168.79,137.18,
Toronto,113.08,110.87,118.30,90.43,
Waterloo,118.55,110.48,106.82,117.40,
Windsor,74.59,74.68,97.83,154.20,
Winnipeg,73.29,64.02,,,
York,,,,,
