Municipality,2012,2011,2010,2009,2008
Barrie,20.5,19.7,19.0,18.3,
Brant,,,,,25.0
Calgary,30.7,29.0,30.5,28.2,28.0
Durham,21.0,20.3,19.7,18.9,18.8
Halton,23.9,23.2,23.1,22.8,20.7
Hamilton,43.0,42.6,42.7,43.0,42.8
London,33.8,33.8,33.7,33.7,33.0
Muskoka,40.0,40.0,40.0,40.0,40.0
Niagara,,,30.6,29.6,28.6
Ottawa,30.7,31.5,31.7,31.0,30.6
Peel,,,,21.7,21.6
Sudbury (Greater),47.0,46.0,45.0,44.0,43.0
Thunder Bay,45.0,47.0,46.0,45.0,44.0
Toronto,59.0,57.4,57.0,57.0,57.0
Waterloo,,,,,
Windsor,44.3,44.9,46.1,47.0,49.0
Winnipeg,39.7,40.3,40.7,,
York,16.2,16.3,15.3,14.0,13.7
