Municipality,2012,2011,2010,2009,2008
Barrie,14654.73,14252.30,10519.40,11136.86,
Brant,,,,,
Calgary,16495.00,17682.84,15392.22,15159.69,
Durham,18286.68,16255.98,17958.69,16845.71,
Halton,19180.48,21131.31,14846.65,17662.44,
Hamilton,15715.12,16636.81,14558.75,13718.97,
London,23969.63,20703.48,19543.25,19582.70,
Muskoka,13858.90,13873.87,13625.71,12981.23,
Niagara,,13838.15,20982.22,11774.78,
Ottawa,28284.09,23159.39,20602.67,20032.37,
Peel,,,,15340.41,
Sudbury (Greater),15036.83,15321.74,13839.33,15058.41,
Thunder Bay,16742.80,18066.96,15399.48,17919.85,
Toronto,17842.68,22187.68,26283.06,27511.91,
Waterloo,,,,,
Windsor,11607.61,11319.22,11083.64,8977.31,
Winnipeg,12067.68,11645.50,12578.79,,
York,73836.85,78226.87,78483.43,48092.30,
