Municipality,2012,2011,2010,2009,2008
Barrie,1020.04,1009.20,759.08 ,669.22, 
Brant,,,,,1163.30 
Calgary,545.35 ,554.00 ,538.77 ,501.98, 
Durham,717.55 ,681.72 ,713.89 ,665.34 ,556.71 
Halton,788.73 ,903.00 ,580.06 ,650.19 ,500.55 
Hamilton,440.95 ,450.13 ,382.70 ,373.63 ,359.41 
London,667.44 ,548.52 ,481.40 ,522.89 ,421.60 
Muskoka,1384.01 ,1390.73 ,1286.72 ,1236.25 ,1130.68 
Niagara,335.45 ,332.24 ,382.32 ,287.86 ,294.74 
Ottawa,867.55 ,713.50 ,596.19 ,569.98 ,413.49 
Peel,,,,367.26 ,327.05 
Sudbury (Greater),915.82 ,901.99 ,882.80 ,1027.56 ,797.95 
Thunder Bay,1214.16 ,1137.21 ,914.03 ,682.71 ,574.73 
Toronto,415.22 ,462.60 ,498.53 ,572.73 ,359.21 
Waterloo,,490.87 ,,,
Windsor,432.11 ,428.76 ,405.92 ,400.65 ,169.41 
Winnipeg,586.53 ,590.90 ,633.33 ,,
York,583.07 ,599.61 ,529.77 ,457.58 ,343.33 
